ISO3,Country,1493-1600,1601-1700,1701-1800,1801-1900
AFG,asia,708.8176921,2126.453076,28.35270768,1118.673745
AGO,otherafrica,0.0,0.0,0.0,5.503147151
ALB,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
AND,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
ARE,asia,708.8176921,2126.453076,28.35270768,1118.673745
ARG,southamericaargentina,12867.0258,22698.32719,16956.0533,28539.6419855
ARM,europeeuropeasia,6767.8527361,5236.814572699999,5761.80206958,19538.824635
AUS,australasiaaustralia,0.0,0.0,0.0,8891.891721
AUT,europeaustria-hungaryeurope,8547.552196999999,3967.1803228999997,7492.7348739,21656.041477
AZE,europeeuropeasia,6767.8527361,5236.814572699999,5761.80206958,19538.824635
BDI,otherafrica,0.0,0.0,0.0,5.503147151
BEL,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
BEN,otherafrica,0.0,0.0,0.0,5.503147151
BFA,otherafrica,0.0,0.0,0.0,5.503147151
BGD,asia,708.8176921,2126.453076,28.35270768,1118.673745
BGR,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
BHR,asia,708.8176921,2126.453076,28.35270768,1118.673745
BIH,europeyugoslavia(serbia1876-1918)europe,6059.035043999999,3110.3614967,5733.4493618999995,18422.228803241
BLZ,centralamerica,0.0,0.0,0.0,559.4807202
BOL,southamericabolivia,22942.444,35651.54522,23010.774026,40225.74862
BRA,southamericabrazil,12867.0258,22699.744825384,17032.60561075,28292.48573369
BRN,asia,708.8176921,2126.453076,28.35270768,1118.673745
BTN,asia,708.8176921,2126.453076,28.35270768,1118.673745
BWA,otherafrica,0.0,0.0,0.0,5.503147151
CAF,otherafrica,0.0,0.0,0.0,5.503147151
CAN,canada,0.0,0.0,0.0,855.8116246
CHE,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
CHL,southamericachile,12867.0258,22698.894244154,17139.4953187,34938.598974
CHN,asiachina,708.8176921,2126.453076,28.35270768,1118.673745
CIV,otherafrica,0.0,0.0,0.0,5.503147151
CMR,otherafrica,0.0,0.0,0.0,5.503147151
COD,belgiancongootherafrica,0.0,0.0,0.0,5.503147151
COG,otherafrica,0.0,0.0,0.0,5.503147151
COL,southamericacolombia,12983.2719015,23015.8775161,17384.179186,29566.090639000002
COM,otherafrica,0.0,0.0,0.0,5.503147151
CPV,otherafrica,0.0,0.0,0.0,5.503147151
CRI,centralamerica,0.0,0.0,0.0,559.4807202
CYP,europeeuropeasia,6767.8527361,5236.814572699999,5761.80206958,19538.824635
CZE,czechoslovakia,0.0,0.0,0.0,0.0
DEU,europegermanyeurope,7485.17624,3863.4094127999997,7622.3067479,24637.324777
DJI,otherafrica,0.0,0.0,0.0,5.503147151
DNK,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
DZA,algeriaotherafrica,0.0,0.0,0.0,6.696342501
ECU,southamericaecuador,12867.0258,22698.32719,16956.0533,28274.226278064
EGY,otherafrica,0.0,0.0,0.0,5.503147151
ERI,otherafrica,0.0,0.0,0.0,5.503147151
ESP,spain(includingportugal),0.0,0.0,0.0,2837.834193
EST,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
ETH,otherafrica,0.0,0.0,0.0,5.503147151
FIN,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
FJI,australasia,0.0,0.0,0.0,4468.718713
FRA,europefranceeurope,6059.035043999999,3110.3614967,5733.4493618999995,20136.738982000003
FSM,australasia,0.0,0.0,0.0,4468.718713
GAB,otherafrica,0.0,0.0,0.0,5.503147151
GBR,europeunitedkingdomeurope,6059.035043999999,3110.3614967,5761.80206958,19207.1800082
GEO,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
GEO708.8176921,asia,2126.453076,28.35270768,1118.673745,
GHA,otherafrica,0.0,0.0,0.0,5.503147151
GIN,otherafrica,0.0,0.0,0.0,5.503147151
GMB,otherafrica,0.0,0.0,0.0,5.503147151
GNB,otherafrica,0.0,0.0,0.0,5.503147151
GNQ,otherafrica,0.0,0.0,0.0,5.503147151
GRC,europegreeceeurope,6059.035043999999,3110.3614967,5733.4493618999995,19282.592370000002
GTM,centralamerica,0.0,0.0,0.0,559.4807202
GUF,"guianas,urguay",0.0,0.0,0.0,0.040912957
GUY,"southamericaguianas,urguay",12867.0258,22698.32719,16956.0533,28272.074902957
"GUY,SUR,GUF,URY","guianas,urguay",0.0,0.0,0.0,0.040912957
HND,centralamerica,0.0,0.0,0.0,559.4807202
HRV,yugoslavia(serbia1876-1918),0.0,0.0,0.0,2.077913241
HUN,europeaustria-hungaryeurope,8547.552196999999,3967.1803228999997,7492.7348739,21656.041477
IDN,asianetherlandeastindies,708.8176921,2126.453076,28.35270768,1120.9606460490002
IND,asiaindia,708.8176921,2126.453076,28.35270768,1124.996398813
IRN,asia,708.8176921,2126.453076,28.35270768,1118.673745
IRQ,asia,708.8176921,2126.453076,28.35270768,1118.673745
ISL,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
ISR,asia,708.8176921,2126.453076,28.35270768,1118.673745
ITA,europeitalyeurope,6059.035043999999,3110.3614967,5733.4493618999995,19135.4288032
JOR,asia,708.8176921,2126.453076,28.35270768,1118.673745
JPN,asiajapan,1417.6353842,4252.906152,56.70541536,1994.8301952000002
KAZ,europeeuropeasia,6767.8527361,5236.814572699999,5761.80206958,19538.824635
KEN,otherafrica,0.0,0.0,0.0,5.503147151
KGZ,asia,708.8176921,2126.453076,28.35270768,1118.673745
KHM,asiaindochina,708.8176921,2126.453076,28.35270768,1118.673745
KIR,australasia,0.0,0.0,0.0,4468.718713
KOR,asiachosen,708.8176921,2126.453076,28.35270768,1118.673745
KWT,asia,708.8176921,2126.453076,28.35270768,1118.673745
LAO,asiaindochina,708.8176921,2126.453076,28.35270768,1118.673745
LBN,asia,708.8176921,2126.453076,28.35270768,1118.673745
LBR,otherafrica,0.0,0.0,0.0,5.503147151
LBY,otherafrica,0.0,0.0,0.0,5.503147151
LIE,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
LKA,asia,708.8176921,2126.453076,28.35270768,1118.673745
LSO,otherafrica,0.0,0.0,0.0,5.503147151
LTU,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
LUX,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
LVA,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
MAR,otherafrica,0.0,0.0,0.0,5.503147151
MCO,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
MDA,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
MDG,otherafrica,0.0,0.0,0.0,5.503147151
MDV,asia,708.8176921,2126.453076,28.35270768,1118.673745
MEX,mexico,2563.368302,8694.357811,29614.6867,52851.85296
MHL,australasia,0.0,0.0,0.0,4468.718713
MKD,europeyugoslavia(serbia1876-1918)europe,6059.035043999999,3110.3614967,5733.4493618999995,18422.228803241
MLI,otherafrica,0.0,0.0,0.0,5.503147151
MLT,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
MMR,asia,708.8176921,2126.453076,28.35270768,1118.673745
MNE,europeyugoslavia(serbia1876-1918)europe,6059.035043999999,3110.3614967,5733.4493618999995,18422.228803241
MNG,asia,708.8176921,2126.453076,28.35270768,1118.673745
MOZ,otherafrica,0.0,0.0,0.0,5.503147151
MRT,otherafrica,0.0,0.0,0.0,5.503147151
MUS,otherafrica,0.0,0.0,0.0,5.503147151
MWI,otherafrica,0.0,0.0,0.0,5.503147151
MYS,asia,708.8176921,2126.453076,28.35270768,1118.673745
NAM,germansouthwestafricaotherafrica,0.0,0.0,0.0,5.503147151
NER,otherafrica,0.0,0.0,0.0,5.503147151
NGA,otherafrica,0.0,0.0,0.0,5.503147151
NIC,centralamerica,0.0,0.0,0.0,559.4807202
NLD,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
NOR,europenorwayeurope,6059.035043999999,3421.3907,6137.4754464,18788.1204675
NPL,asia,708.8176921,2126.453076,28.35270768,1118.673745
NRU,australasia,0.0,0.0,0.0,4468.718713
NZL,australasianewzealand,0.0,0.0,0.0,4514.26441756
OMN,asia,708.8176921,2126.453076,28.35270768,1118.673745
PAK,asia,708.8176921,2126.453076,28.35270768,1118.673745
PAN,centralamerica,0.0,0.0,0.0,559.4807202
PER,southamericaperu,15542.387297,32123.901332,27169.265659999997,36339.438782
PHL,asiaphilippineislands,708.8176921,2126.453076,28.35270768,1118.673745
PLW,australasia,0.0,0.0,0.0,4468.718713
PNG,australasia,0.0,0.0,0.0,4468.718713
POL,europepolandeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
PRK,asiachosen,708.8176921,2126.453076,28.35270768,1118.673745
PRT,europespain(includingportugal)europe,6059.035043999999,3110.3614967,5733.4493618999995,21257.985083
PRY,southamerica,12867.0258,22698.32719,16956.0533,28272.03399
QAT,asia,708.8176921,2126.453076,28.35270768,1118.673745
ROU,europeromaniaeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
RUS,europerussiaeurope,6059.035043999999,3110.3614967,6615.9273886,19991.889251
RWA,otherafrica,0.0,0.0,0.0,5.503147151
SAU,asia,708.8176921,2126.453076,28.35270768,1118.673745
SDN,otherafrica,0.0,0.0,0.0,5.503147151
SEN,otherafrica,0.0,0.0,0.0,5.503147151
SGP,asia,708.8176921,2126.453076,28.35270768,1118.673745
SLB,australasia,0.0,0.0,0.0,4468.718713
SLE,otherafrica,0.0,0.0,0.0,5.503147151
SLV,centralamerica,0.0,0.0,0.0,559.4807202
SMR,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
SOM,otherafrica,0.0,0.0,0.0,5.503147151
SRB,europeyugoslavia(serbia1876-1918)europe,6059.035043999999,3110.3614967,5733.4493618999995,18422.228803241
SSD,otherafrica,0.0,0.0,0.0,5.503147151
STP,otherafrica,0.0,0.0,0.0,5.503147151
SUR,"southamericaguianas,urguay",12867.0258,22698.32719,16956.0533,28272.074902957
SVK,europeczechoslovakiaeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
SVN,europeyugoslavia(serbia1876-1918)europe,6059.035043999999,3110.3614967,5733.4493618999995,18422.228803241
SWE,europeswedeneurope,6162.0167849,3165.7187408199998,5766.72860772,18526.2806603
SWZ,otherafrica,0.0,0.0,0.0,5.503147151
SYC,otherafrica,0.0,0.0,0.0,5.503147151
SYR,asia,708.8176921,2126.453076,28.35270768,1118.673745
TCD,otherafrica,0.0,0.0,0.0,5.503147151
TGO,otherafrica,0.0,0.0,0.0,5.503147151
THA,asia,708.8176921,2126.453076,28.35270768,1118.673745
TJK,asia,708.8176921,2126.453076,28.35270768,1118.673745
TKM,asia,708.8176921,2126.453076,28.35270768,1118.673745
TLS,asia,708.8176921,2126.453076,28.35270768,1118.673745
TON,australasia,0.0,0.0,0.0,4468.718713
TUN,otherafrica,0.0,0.0,0.0,5.503147151
TUR,europeeuropeasiaturkey,6767.8527361,5236.814572699999,5761.80206958,19772.732375300002
TUV,australasia,0.0,0.0,0.0,4468.718713
TWN,taiwan,0.0,0.0,0.0,0.0
TZA,otherafrica,0.0,0.0,0.0,5.503147151
UGA,otherafrica,0.0,0.0,0.0,5.503147151
UKR,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
URY,"southamericaguianas,urguay",12867.0258,22698.32719,16956.0533,28272.074902957
USA,unitedstates,0.0,0.0,0.0,37940.26493
UZB,asia,708.8176921,2126.453076,28.35270768,1118.673745
VAT,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
VEN,southamericavenezuela,12867.0258,22698.32719,16956.0533,28272.03399
VNM,asiaindochina,708.8176921,2126.453076,28.35270768,1118.673745
VUT,australasia,0.0,0.0,0.0,4468.718713
WSM,australasia,0.0,0.0,0.0,4468.718713
XKX,europeeurope,6059.035043999999,3110.3614967,5733.4493618999995,18420.15089
YEM,asia,708.8176921,2126.453076,28.35270768,1118.673745
ZAF,unionofsouthafricaotherafrica,0.0,0.0,0.0,69.52356110100001
ZMB,otherafrica,0.0,0.0,0.0,5.503147151
ZWE,rhodesiaotherafrica,0.0,0.0,0.0,5.530110576
africa,africa,0.0,0.0,0.0,70.74371988
