Country,ISO,1493-1600,1601-1700,1701-1800,1801-1900
united states,USA,0,0,3295.628508,3268007.796
mexico,MEX,21874.97874,34908.79968,83124.90786,0
bolivia,BOL,51041.61706,94791.54618,65624.90786,62676.39054
brazil,BRA,0,13671.85462,765624.0574,203873.7314
chile,CHL,43749.95748,31901.00357,78385.3263,110655.6954
colombia,COL,116666.5249,319010.0357,428384.9011,349196.1218
ecuador,ECU,0,0,0,1122.696604
british guiana,GUY,0,0,0,33056.67064
dutch guiana,SUR,0,0,0,15160.91172
french guiana,GUF,0,0,0,51590.74673
peru,PER,21145.82979,45572.8015,50130.12417,40018.99416
uruguay,URY,0,0,0,1309.888303
venezuela,VEN,0,0,0,73592.70284
austria hungary,"AUT,HUN",134895.6739,91145.71639,96249.87243,147892.5554
czechoslovakia,"CZE,SVK",0,0,0,0
france,FRA,0,0,0,1153.852696
germany,DEU,0,0,0,30367.46612
great britain,GBR,0,0,0,1855.559335
greece,GRC,0,0,0,0
italy,ITA,0,0,0,3784.515507
norway,NOR,0,0,0,18.28542269
portugal,PRT,0,0,0,49.92345637
romania,ROU,0,0,0,0
serbia,SRB,0,0,0,36.45744741
spain,ESP,0,0,0,17.29319045
sweden,SWE,0,0,0,1449.906447
turkey,TUR,0,0,0,253.8980552
yugoslavia,"BIH,HRV,MNE,MKD,SRB,SVN",0,0,0,0
russia,RUS,0,0,2409.706866,476866.8141
british india,"IND,PAK,BGD",0,0,0,85742.70001
china,CHN,0,0,0,161122.9517
british east indies,IDN,0,0,0,4446.192663
dutch east indies,IDN,0,0,0,2124.992913
indo china,"VNM,LAO,KHM",0,0,0,0
japan,JPN,0,0,0,16726.54079
philippine islands,PHL,0,0,0,0
asiatic russia,RUS,0,0,2421.018314,1293513.75
siam,THA,0,0,0,136.701253
africa,Africa,231145.5463,182291.4328,154947.7235,732430.5721
asia,Asia,0,0,2421.018314,0
canada,CAN,0,0,0,197555.7635
mexico,MEX,0,0,0,19490.89981
argentina,ARG,0,0,0,3448.545671
australasia,"AUS,NZL",0,0,0,2972704.116
new zealand,NZL,0,0,0,381905.5395
australia,AUS,0,0,0,2590798.577