,,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
malayan union,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,1581838,1942521,2105612,,90776,48361,10453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4491,950,521,517,481,348,308,330,320,351,371186,532455,340300,113700,193827,181660,207963,161287,128654,105773,344186,375869,319919,245849,243182,202322,325114,269087,376009,337462,258573,376476,404350,596612,663732,949605,667082,802030,981932,1470186,3557813,8077879,12143985,12134258,9615323,1625253,1914232,3919632,3353634,4160462
manchoukuo,CHN,,,,,,,,,,,,,,,,,,,,1025163,1158060,,1454598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manchuria,CHN,,,,,,,,,,,,,,557595,620644,,,,,,,,,,,2670000,3100000,3800000,4300000,4800000,6820000,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295000,984000,1279000,,,,,,,9103,8457,9298,10445,11741,8677,9420,7467,6400,9300,8939000,8473000,7660000,7402000,9526576,9200000,7200000,9008000,9300000,12100000,11590000,10246000,9110000,9362000,11000000,11300000,11400000,11700000,11402000,10400000,11069000,10300000,9600000,10100000,10700000,10752000,11155000,11815000,10968000,10275000,11109000,11176000,11169800,12532200,13305800,11607000,13268061,11813000,10710305,12196491
mexico,MEX,,,,,,,,,,,49878,51605,,91513,,,,,,26694,76486,104128,94080,121176,133869,97782,141601,109033,108395,128756,165492,184008,278062,271095,327195,332000,357000,413000,450000,557870,538550,513830,704000,801000,935000,955000,880000,860000,1130000,2220000,2290000,,,,,,,4812,4354,5089,5188,5900,5054,5466,5381,5334,5900,7630660,8019105,8154908,8039000,8317000,7819900,7299100,7522900,8431000,8033000,8073000,7540000,7809000,8480000,7535546,10704000,11809000,11956000,11101000,10814000,11300000,8660000,9966000,12398000,13369000,14468000,14568000,16540000,17709000,17693000,21210000,19403000,22600000,28545000,25193818,20397000,18317700,17746262,21244460,21000000
mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167700,180000,265100,1387400,1379000,3203200,5678300,7561400,6011200,6000000,6173400,4936200,7694700,6225400,8572200
morocco,MAR,,,,,,,,,,,390329,,,468700,936774,,,,,168479,507692,,1149323,1036355,1400000,,,,,,,,,,,,,,,,,,,,,1514385,1245043,1552116,1438829,1130709,1018249,,,,,,,872,623,234,375,569,554,343,407,63,,78020,73112,223820,252475,250000,180028,195600,279378,156416,175600,149540,98676,84679,106700,63517,47192,11842,12011,9285,6625,6462,7976,8736,4019,,16300,35500,47958,22878,29600,44665,78926,260700,301100,22910,17860,21033,100000,100000,100000
'Morocco (French),MAR,,,,,,,,,,,,,,,,,,,,,,,,,,261464,407432,79061,1580,3200,10500,6500,102,122327,153841,296500,351183,316001,541123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Morocco (Spanish),MAR,,,,,,,,,,,,,,,,,,,,,,,,,,1320468,1134491,384339,545916,538786,538976,680000,703700,806800,888300,886281,879754,937666,912415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morocco southern,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652425,508641,335570,309550,484379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moroccoc northern,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919694,970613,916656,1016794,1289162,1845217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,86800,,,,,,,,,,,,,,,,,,27700,230000,290449,282400,271700,273000,298300,294200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new zealand,NZL,,,,,,,,,,,,630,1289,,,,,,,,6572,2806,10646,,571,1218,1586,1189,1544,2433,4988,6036,6067,7406,6226,4776,4352,3642,2496,1823,2762,2916,2550,2777,2399,1533,1505,1999,1745,1501,3074,,,,,,,142,576,1380,2182,2200,2297,2473,2968,3946,3800,3638449,3253153,2791621,2203380,2417113,2536462,2601345,2294370,2351593,2366635,2296153,2264849,2934111,2388783,2400000,2362197,2333715,2477728,2224325,2303376,2691780,1636400,1739950,1946913,2329417,2207244,2146496,1723726,2020227,585978,2438641,2357440,2394848,3156619,3245369,3193722,3495818,4008000,4000000,4000000
Newfoundland,CAN,1243200,1245797,511990,834310,902380,731080,709338,510600,,,27401,64,,865715,1335429,1547895,,,,317858,320891,506616,662441,727355,1609723,1680213,1653093,1508774,967727,1192870,542804,464371,967062,1217112,1443410,1468056,3281336,3218983,4228741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307528,350000,350000,350000,350000,,31912,76544,18796,,,,7850,8635,8479,84790,88180,57900,62000,99424,63000,70000,70000,70000,70000,4000,1550,1550,1582,160
northern ireland,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4749,6555,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northern rhodesia,ZMB,,,,,,,,,,,,,,,3419,4466,,,,711,,,,,,205,136,267,267,388,614,209,75,159,1504,147,1721,,,5943,2169,961,2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norway,NOR,535932,641790,703427,411183,297874,303569,,,,,379635,513733,418587,209302,471764,652241,,,,368002,466379,558452,753067,833435,992301,1402786,1319238,605728,557566,280005,215541,260250,77298,59025,125780,196151,270944,293705,326976,757274,1167557,1077290,1235754,1525472,1476000,1575604,1521612,1631243,1643480,1906913,1966992,,,,,,,4008,4056,3881,3970,3908,4109,3972,3635,3773,4249,3883600,4137680,3545120,3545477,3723111,3496570,3618239,3114569,2600248,2357580,2235062,2360540,2258409,2286626,2459995,2168381,1554599,724400,588700,533800,470000,395000,490000,410000,590000,713000,620000,630000,746000,896000,6742333,6723426,7744487,9549232,10542149,3519116,1757851,1622477,1700000,1700000
pakistan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8097,2250,5421,4004,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104278,131259,125879,130000,130000,447541,329100,384893,412108,192749,328915,432156,501664,677206,626646
peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359341,2084888,1737743,2873600,63500000,3532108,3519000,6879486,8598746,5854981,6064000,,,,,,,12585,11603,13422,10900,9600,753,776,6185,4923,5444,5704000,6069000,5774000,4347000,4076000,4881324,5025998,5100017,4158132,4490237,3308249,3513000,2855000,5203000,6943000,5975967,4467689,4746070,4905632,4078186,4143299,4563551,4566000,5228804,5228800,5614900,5885000,6277000,6348000,4069000,7432000,8623000,8221983,6680659,7193000,7320807,7663124,8806452,9533871,10120007
philippine islands,PHL,223,196,94,92,65,69,,,,,,,,,,,,,,,,,278836,529041,681698,856310,1166781,1228184,835595,,,,,,,18000,364326,589633,869241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philippine republic,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151866,1198630,1402394,1410084,1417486,1325099,1081379,1210764,1120785,1152061,1365054,1362835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philippines,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872,2250,2205,2255,1608,1352,571,,2,3,,5746,5573,2645,,,,,,,,,,,,,,,,,,,,,,,,,,,,292608,216176,826745,1056694,107119,17088,,,
poland,POL,,,,,,,,,,,442242,283604,207370,311840,537741,725119,,,,75901,270161,243458,327059,461253,767830,858369,,800000,892000,796000,706000,670000,104000,389224,496487,649000,688000,780000,887000,1011000,1288000,1549600,1827000,1942000,1962800,2138800,1982000,2148000,2348000,2398000,2568000,,,,,,,2553,2078,1654,1440,1296,1192,674,659,529,249,104000,105000,49300,10000,10900,11300,8800,6300,300,7200,2400,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,PRT,61168,9008,14365,2225,7264,,8572,,,,8998,8435,,1614,7491,,,,,,4400,2849,866,6436,7578,727,623,296,1203,3,1,7,,49,,159,217,,21045,87570,142682,110516,186583,233739,281859,228466,241350,297000,245000,258000,258000,,,,,,,126,99,43,57,24,56,49,53,54,55,56623,37096,27100,35500,36000,78210,700,27250,23300,13170,14080,16070,14545,16175,,14535,18620,18905,20200,11733,11800,,,,,,,,,,,,,,,,,,,
portuguese india,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,429397,478353,928794,1358845,2176074,2504381,2901017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodesia,ZWE,,,8591,5212,4723,5674,2232,,,,,,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,550,550,550,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
romania,ROU,,,,,,,,,,,97697,100889,,101175,95604,82544,,,,7924,13613,82270,92331,106835,126967,136987,140759,148100,164000,212000,240000,,,105000,119000,206000,319000,389000,470000,614000,680000,6684000,626942,683379,634000,731742,1046937,1437015,1709659,1714107,2250000,,,,,,,3206,3467,3361,3234,3265,3065,2835,2467,2511,523,2333000,2304000,2146000,1987000,1916000,2287000,2431000,2281000,2252000,2482385,2002000,1461000,1229000,903500,950800,865000,860000,756000,459000,,116000,221000,248000,244000,202500,220788,122684,8157,,,,,,,,,,,,
russia,RUS,,,,,,,,,,,476700,880539,12160904,3376253,4736991,5829509,,,,12000000,14000000,21000000,26421000,27477000,520,861955,828560,689290,1029970,623270,556515,454660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82100000,76100000,73308000,78300000,72100000,70867300,72343300,82200000,87100000,82800000,85964300,92604600,94894600,95100000,102000000,105000000,99900000,92000000,95500000,104000000,104000000,102100000,102100000,101000000,101000000,95000000,96100000,97500000
russian zone,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279000,300000,301000,895000,481000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serbia and montenegro,"SRB,MNE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,,,,,,,,,,,,,,,,,,,
siam,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,6480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sierra leone,SLE,,,,,,,,,,,,,,,,,,,,,24550,210645,433540,566595,633985,23484,19192,,,,,,705799,633194,744890,868023,985353,1073814,1071788,1152459,1367046,816556,1235384,1311059,1323895,1421563,1503275,1540445,1757853,1983025,1953651,,,,,,,2427,2610,2321,2205,2014,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339330,5203490,11894580,14513946,5247688,6576576,6531460,968585,722305
slovakia,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092000,860000,405000,436000,452800,479212,458035,447055,435492,326300,287000,305072,534000,583000,570000,392000,,,,,,,,,,,
south africa,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177422,2845562,3022386,4108125,4539476,4910589,,,,,,,9192,10496,11223,10955,11553,12298,15663,26481,24206,31565,26312480,28318856,24553600,16604923,24495995,24414154,24482538,22008032,25247678,29958256,30290945,29075422,28225859,29385168,32321215,31945511,30829900,33225130,32965235,29507849,33707364,34757159,36484015,38085855,39332787,39542072,41326036,42100887,48982537,55313053,58709330,58056897,67100474,71543088,80759334,73220891,66455868,74643475,74263738,72430288
south west africa,NAM,,,,,,,,,,,,,,18956,21409,29923,,,,,,,,,14054,,,,310,179,179,,,,,,,,,,,1721,,,339,6616,,,,,14792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southern rhodesia,ZWE,,,,,,,,,,,,,,1893,470,3062,,,,,,,,,,2504751,2403036,2200786,1691830,1580794,1562740,1484764,,,282,29997,50672,56312,51026,63808,62034,63290,82888,114245,132829,142416,127679,155954,381868,608845,645025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soviet union,"ARM,AZE,BLR,EST,GEO,KAZ,KGZ,LVA,LTU,MDA,RUS,TJK,TKM,UKR,UZB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195506,203004,208000,216000,225000,232803,239109,239716,244231,241597,244713000,242417000,244411000,245200000,247104000,248000000,250000000,251000000,250000000,241000000,236000000,199300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,ESP,9703177,6710357,5527552,5762733,5461857,4617332,4565489,,,,3400686,4550465,4300000,3140230,4893184,5418420,,,,1732667,1786811,1940000,2591570,,,13701955,13563284,11111053,10361468,9922670,10648785,7138556,1152868,1570994,1490001,1604972,1846662,2095580,2276992,2818139,2976366,2869330,3708910,4409766,5293113,4953969,4536400,5548476,5967595,5669812,5238000,,,,,,,7051,7308,6685,7326,9120,7641,7050,7375,8580,300,9226813,8483212,8261826,7939654,7981174,6462977,6053932,4499599,4262000,4610000,3012000,3120000,2750000,2475000,2086000,2028798,1263318,57930,52161,64000,75054,55058,24489,571,10879,,,,,,,,,,,,,,,
sudan,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,4800,4400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,48163,96400,339390,400000,,,,,
swaziland,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552,2886,2566,2145,2077,2240,1936,1441,1266,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79553,1032230,1258560,603251,,,,,
sweden,SWE,7355428,6480773,6772683,6874018,6117253,6517209,4901056,,,,5498363,6395270,8037266,8332207,9508395,4595064,,,,3246886,2656127,5170093,7807566,11071933,14716394,131882,168574,232840,308847,311764,281284,211000,3867534,6758750,8754067,13077266,13512054,13396062,15147929,16681063,16715100,15083404,17080712,18648137,19608896,18022913,18061046,21347054,23220408,22170364,23264000,,,,,,,31518,34367,33979,34727,36153,30867,29861,24839,21063,26600,26968000,23201000,14744000,13212000,18123000,20525000,20529000,19069000,19717000,21406000,19877000,19328000,19277000,18728000,19909000,21662000,21288000,21893000,20930000,18853000,20557000,19486000,20281000,21498000,22272000,23255000,23302000,24714000,23888000,17677000,28797000,30840000,32198000,37411000,35759000,29861000,31843000,31763000,35774000,38913000
switzerland,CHE,,,,,,,,,,,75000,80090,58573,49205,80371,64664,,,,11675,6977,18661,3813,10000,70000,,,,,,,,17161,52454,63734,85400,89000,54000,86400,104800,103600,100000,127000,129000,114000,77000,59000,123000,85000,103000,94000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailand,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2811,7559,2712,5000,5684,8833,14517,5978,11294,54912,44592,15493,,,,,,,23,42,28,36,36,32,25,63,88,100,84966,62472,26750,40304,60670,93800,37330,97026,99257,177373,128626,240075,427242,204000,,34480,85880,43840,90700,122633,100,50,570110,9675,135580,230946,264289,1554860,1709750,528899,976937,489359,303233,389620,347918,16483,,135,,17660
tunis,TUN,584649,520665,292359,492884,596219,414768,354660,,,,825000,759000,711000,574000,901000,895000,,,,206000,286000,537900,496000,715000,928858,809070,751727,338095,1030,24000,29230,86700,130358,180800,397310,685100,700700,745900,908200,961600,1040351,934500,1122069,1151642,1158382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunisia,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085751,966148,1017069,836000,749000,851000,,,,,,,774,936,890,809,784,616,512,344,339,394,389485,395952,274457,314000,309623,309338,310000,295000,325117,279994,290708,295000,300000,298800,247000,226200,238800,264400,221800,222100,183300,206500,179200,160300,256000,206400,217300,180600,108300,151200,180500,171200,223000,243100,307600,284600,210697,197965,175853,186485
turkey,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,75299,227663,128279,59794,18743,90302,89002,123283,110438,143320,165170,214599,229902,222244,474215,489428,576947,860174,915784,1220442,935890,859103,722988,745671,760698,734800,,,,,,,2671,2550,1992,2537,2256,2359,3602,3470,198,4000,2578948,2935265,3055090,3629563,4049425,3994534,5248789,5365794,5480916,4518000,4924874,5334502,5579000,5070000,6684000,931176,279951,5986900,5885429,4846032,4076257,4434621,3432775,3429070,3856536,3889934,3251969,4549556,3990110,4169972,5378455,6308448,7599511,7700000,7700000,7760957,7137233,9992455,15650305,15650000
uganda,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,366,1740,1700,3795,2134,4431,2282,41959,9000,2163,2320,4500,
ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75700000,65500000,,50741000,47590000,52993500,51070200,47769100,55883200,54700000,58900000,62500000,66000000,69456000,74000000,77930000,72688000,66452000,78541000,80900000,67149000,70389000,68337000,66902000,62876000,60574000,60549000,63204900
unfederated malay states,MYS,,,,,,,,,,,,,,,,,,,,,,,1411636,1654547,1660842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union of South Africa,ZAF,,,,,,4356,3216,2289,,,,5743,13937,46696,76299,20568,,,,31196,67496,229494,299247,359219,454505,497336,482397,628672,790192,706406,726474,756261,852515,931879,1143779,1145350,1222423,1170465,1398702,1731122,1939595,1863190,1967347,2031685,2047413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,15997328,14867582,14235012,13494658,14845734,14613032,12254195,12707475,,,10882416,11057420,10146321,4094386,11211820,11263129,,,,7328190,7461720,10586846,10895385,12701386,14214995,11859191,14485600,17701800,18974200,19905600,18493700,15471700,14174900,12172800,11090900,13089200,13396700,12935800,14647100,16232200,15817500,15557200,16175100,16245400,16902100,14612400,14869500,17087400,16518000,15277100,14912000,,,,,,,12018,10228,9049,7105,3602,4490,4582,3745,239,4269,915900,731200,470100,384000,403400,274400,289000,262700,224100,34300,55300,59400,30900,1068,1177,1051,1190,1210,1188,1000,1033,510,464,500,500,354,341,300,145,,,,,,,,,,,
united states,USA,61980437,41439761,55526490,75167672,75288851,69658278,60466000,67773000,,,70743565,55140915,63328517,68822724,63199518,63373200,,,,9872350,17744819,24309438,31064436,49729264,73434520,28756142,52440977,74832446,93687157,107103227,102783672,95445792,89736084,71888812,94140051,102200425,85900300,99016429,117536000,98818913,119101367,78627505,103812930,98414935,106918886,468095000,60549000,89290000,71425000,71959000,73736000,,,,,,,91534,82298,76645,89076,85709,80132,277,56645,82892,86489,70730000,74348000,36002000,38165000,52092000,49533000,39486000,47648000,57515000,59032000,56408000,56761000,55593000,55661000,58215000,501000,62083000,971000,62931000,57410000,63089000,46192000,51570000,48554000,54724000,54300000,52700000,52500000,53600000,26000000,49500000,54700000,54000000,53000000,57500000,46100000,41800000,47900000,49500000,46800000
ussr,"ARM,AZE,BLR,EST,GEO,KAZ,KGZ,LVA,LTU,MDA,RUS,TJK,TKM,UKR,UZB",,,,,,,,,,,,,,,,,,,,,,,,,,27000000,,28000000,30000000,,,,20000000,22000000,26000000,31000000,35000000,44000000,50000000,51730000,58700000,63300000,70700000,76800000,82900000,87413000,92899000,104858000,115775000,126079000,135304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
venezuela,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195159,1249559,1938692,2260132,5334986,8306162,10929398,15135068,15239986,16929607,19182551,14335395,13056364,11561612,,,,,,,22070,20240,17327,22155,25983,24772,18684,13690,13520,900,16221000,15722000,11680000,9297000,13046000,14753688,16753406,17782079,18931793,18389996,20365844,20343000,18887115,16851071,18318000,18954920,18454912,18359509,16784217,16100000,17352963,16902437,16595634,17954495,19196231,21179000,22100000,20650000,21500000,21000000,14330761,16347621,16347028,11372172,11394040,11715475,7306000,4601000,2800000,4000000
vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435000,1600000,1200000,1200000,1800000,1972100,2371300,1506200,2495000,2308000,2691000,3056000,5515000,5588496,5591290
yugoslavia,"BIH,HRV,MNE,MKD,SRB,SVN",,,,,,,,,,,240688,324813,136901,360834,330791,432539,,,,26215,50925,176971,231022,443738,609713,597523,656285,586331,,,,,,393000,727000,865000,822000,812813,572170,665333,782362,1093200,1376214,1697724,1846485,1965000,2062000,2165000,2150000,2155000,2261000,,,,,,,3694,3728,3960,4670,5034,5239,260,4451,4564,617,4530000,4794000,5106000,5018000,5321000,5478154,6618122,5983000,5545155,5079691,4132173,2574000,400000,400000,400000,5520,5200,7230,5125,2088,,,,,,,,,,,,,,,,,,,,
zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,1352,1176,1123,1201,1621681,1097697,837316,926472,1127001,1098000,1115000,1328393,1020900,1142995,1260000,1137000,1181000,374493,3500,311352,323942,479032,371589,598650,438495,361362,271812,411044,228731,363048,104459,79109,2919,,28,,,,,,,,,
ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5568,27060,7631,2616,408,,,,,
mali,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,100000,160000,100000,100000,,,,,
laos,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234745,115065,250000,99196,470300
malawi,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,5000,2563,3000
namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,8478,2450,3824,15646
nepal,NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,396,183