Countries,ISO3,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Southern Rhodesia-,ZWE,,,,,,,,,,,,,181.864,172.72,81.28,304.8,393.192,163.576,586.232,110.744,1664.208,,,78.232,31.496,46.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South West Africa,NAM,776.224,814.832,256.032,207.264,22.352,,,,,30.48,159.512,117.856,265.176,524.256,647.192,306.832,1062.736,1282.192,753.872,485.648,484.632,219.456,145.288,122.936,128.016,116.84,12.192,35.56,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,,,,,,,,,,,,203.2,264.16,19.304,,16.256,7.112,,,,,,,23.368,20.32,47.752,,76.2,,50.8,44.704,6.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union of South Africa,ZAF,,,,,,,,,,,,,13.208,,,54.864,51.816,386.08,647.192,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,,,,20.32,,90.424,99.568,2.032,,,,18.288,10.16,17.272,10.16,16.256,9.144,4.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,,,,,,,,,,,,,,,10.16,31.496,134.112,112.776,51.816,6.096,,,25.4,17.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Congo,COD,,,,,,,,,,,,,,,,,370.84,1353.312,1810.512,2103.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,34.544,,,,,,,,,,,5.08,5.08,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,8.128,,,,,,,,,,,,,,,,,15.24,24.384,138.176,438.912,,,,677.672,749.808,721.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,10.16,2690.368,2330.704,1681.48,326.136,,294.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,10.16,2690.368,2330.704,1681.48,326.136,,294.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,9.144,156.464,235.712,1146.048,377.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,535.432,49.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surinam,SUR,,,,,,,,,,,,,,,,,,,,,,,,430.784,749.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,6118.352,,,,,,,,156,185,489,434,450,182,277,66,113,115,118,49,52,,,38,28,,,,29,41,24,,,,,
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,25,,,,,,,,,,,,,,,,,,,,,