Countries,ISO3,Ore,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Nigeria,NGA,nondescript non descript lithium minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1567.00,133.00
Portugal,PRT,amblygonite,0.00,0.00,0.00,20.32,0.00,90.42,99.57,2.03,0.00,0.00,0.00,18.29,10.16,17.27,10.16,16.26,9.14,4.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Portugal,PRT,lepidolite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1100.00,1100.00,1000.00,800.00,1000.00,1200.00,1200.00,905.00,700.00,600.00,130.00,1800.00,9380.00,14109.00,18264.00,20775.00,18970.00,15904.00,13289.00,14000.00,8740.00,7626.00,6838.00,13306.00,0.00,9352.00,11571.00,16325.00,24606.00,28696.00,26185.00,28497.00,34755.00,34888.00,38500.00,40109.00,37534.00,20698.00,19940.00,17459.00,19275.00,40785.00,65743.00,76818.00,59912.00
Portugal,PRT,phyllite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.10,49.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Russia,RUS,nondescript non descript lithium minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45000.00,45000.00,50000.00,50000.00,50000.00,55000.00,55000.00,55000.00,55000.00,55000.00,55000.00,55000.00,55000.00,55000.00,55000.00,55000.00,50000.00,45000.00,40000.00,40000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Rwanda, Burundi",RWA,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rwanda,RWA,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,30.00,30.00,30.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surinam,SUR,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,430.78,749.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surinam,SUR,spudomene,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.51,424.69,0.00,0.00,150.37,25.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.00,366.00,505.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sweden,SWE,petalite,0.00,0.00,219.46,421.64,221.49,311.91,147.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,UGA,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.20,264.16,19.30,0.00,16.26,7.11,0.00,0.00,0.00,0.00,0.00,0.00,23.37,20.32,47.75,0.00,76.20,0.00,50.80,44.70,6.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,nondescript,808.74,1805.43,1824.74,3476.75,4903.22,7397.50,12082.27,2218.94,2780.79,2213.86,3520.44,4389.12,8441.94,10871.20,14161.01,24710.14,34317.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.00,4000.00,4000.00,4000.00,4000.00,5000.00,5000.00,3500.00,4500.00,5000.00,4500.00,4000.00,4000.00,4000.00,4500.00,4000.00,4000.00,3500.00,3500.00,0.00,3500.00,4000.00,4000.00,0.00,0.00,1500.00,1500.00,1500.00,1500.00,1500.00,500.00,500.00,500.00,500.00,1500.00,1000.00,1000.00,1000.00,870.00,900.00,900.00,900.00,900.00,900.00,900.00
Sweden,SWE,spudomene,0.00,0.00,191.01,113.79,34.54,84.33,110.74,20.32,48.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Union of South Africa,ZAF,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.21,0.00,0.00,54.86,51.82,386.08,647.19,27.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,ZAF,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.14,156.46,235.71,1146.05,377.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Southern Rhodesia,ZWE,amblygonite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.86,172.72,81.28,304.80,393.19,163.58,586.23,110.74,1664.21,0.00,0.00,78.23,31.50,46.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Southern Rhodesia,ZWE,eucryptite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360.68,0.00,1210.06,1704.85,785.37,1055.62,731.52,483.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
'Southern Rhodesia-,ZWE,lepidolite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1592.07,1118.62,6968.74,24410.42,52354.48,76743.56,84858.35,58691.27,0.00,14047.22,21805.39,19270.47,14656.82,20812.76,12056.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zimbabwe,ZWE,nondescript non descript lithium minerals,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,883.00,40722.00,8050.00,16688.00,13197.00,21030.00,16444.00,9786.00,19193.00,22548.00,27910.00,32760.00,14959.00,15073.00,20647.00,19053.00,9186.00,12837.00,18064.00,25279.00,33498.00,30929.00,49833.00,28055.00,36671.00,37914.00,36103.00,29320.00,12131.00,13710.00,0.00,0.00,0.00,0.00,0.00,42000.00,44000.00,47000.00,44000.00,44000.00,44000.00,48000.00,51000.00,70000.00,65000.00
Southern Rhodesia,ZWE,petalite,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.60,10504.42,24227.54,21961.86,12268.20,9011.92,11943.08,0.00,57727.09,25125.68,19689.06,27165.81,33064.70,20354.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Southern Rhodesia,ZWE,spudomene,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.64,40.64,0.00,45.72,4032.50,5078.98,4751.83,0.00,6975.86,1476.25,1357.38,2027.94,6318.50,10442.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zimbabwe,ZWE,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,0,181.864,1764.792,1342.136,17818.608,49031.144,74525.632,93630.496,99060,77411.072,0,79960.216,50190.4,41133.776,44952.92,60927.488,43337.48,0,0,0,0,0,0,0,0,0,883,40722,8050,16688,13197,21030,16444,9786,19193,22548,27910,32760,14959,15073,20647,19053,9186,12837,18064,25279,33498,30929,49833,28055,36671,37914,36103,29320,12131,13710,0,0,0,0,0,42000,44000,47000,44000,44000,44000,48000,51000,70000,65000
South Africa,ZAF,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,0,13.208,0,0,54.864,51.816,386.08,647.192,27.432,0,9.144,156.464,235.712,1146.048,377.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surinam,SUR,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.512,424.688,0,430.784,900.176,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,366,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda & Burundi,RWA,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,PRT,total lithium ore ,0,0,0,20.32,0,90.424,99.568,8.128,49.784,0,0,18.288,10.16,17.272,10.16,16.256,9.144,4.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1100,1000,800,1000,1200,1200,905,700,600,130,1800,9380,14109,18264,20775,18970,15904,13289,14000,8740,7626,6838,13306,0,9352,11571,16325,24606,28696,26185,28497,34755,34888,38500,40109,37534,20698,19940,17459,19275,40785,65743,76818,59912
Namibia,NAM,total lithium ore ,776.224,1251.712,1200.912,217.424,438.912,731.52,1671.32,1153.16,1706.88,3129.28,1556.512,1051.56,8881.872,10742.168,8891.016,9416.288,6610.096,7731.76,5120.64,6115.304,8148.32,4714.24,4769.104,3713.48,2656.84,979.424,1266.952,2382.52,1883.664,0,36.576,35.56,0,0,0,0,0,51373,5892,2548,0,2700,0,1263,1040,780,800,1873,855,927,1642,1398,1268,1152,1162,739,1362,2611,1971,632,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,0
Mozambique,MOZ,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,599.44,221.488,279.4,1100.328,5711.952,0,0,1036.32,0,87.376,90.424,0,153.416,274.32,103.632,0,76.2,0,255.016,605.536,392.176,0,0,0,0,0,755,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,ESP,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,31.496,134.112,112.776,51.816,6.096,0,0,25.4,17.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6751,8339,10326,9342,7000,7824,0,0,0,0,0,0,0,0,0
Chile,CHL,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,4508,4458,6139,7332,7508,9082,8575,10823,10369,10439,12943,14180,24246,28377,28000,35869,31320,35242,41667,43971,43595,50035,59637,56881,30538,52851,69597,71594,60646,62253,56375,78182,81378,97323,112607
Canada,CAN,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.128,51.816,2172.208,2437.384,1747.52,1249.68,92.456,242.824,226.568,300.736,479.552,459.232,114.808,198.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,7500,10000,15000,15000,9200,11300,10000,0,0,21000,22000,22500,22500,22500,22500,22500,22500,22500,22500,22500,22500,23000,22000,22000,0,0,0,0,108,0,0,1100,140000,0
Brazil,BRA,total lithium ore ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6839.712,99.568,6168.136,0,0,0,0,0,0,0,5113,2898,2208,3635,2100,2818,2602,2774,2122,2240,1467,1693,2998,3500,1471,475,1961,3056,0,0,7171,6571,6933,9485,11122,10873,9084,12046,9755,9064,8924,8585,7991,14460,15000,15733,7820,7084,7982,8000,5781,8804,9000,9000,9000
Australia,AUS,total lithium ore ,0,0,0,0,0,8.128,0,0,0,0,0,5.08,0,0,0,0,15.24,4.064,0,0,69.088,0,16.256,127,138.176,438.912,264.16,314.96,947.928,677.672,749.808,721.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50576,43281,39980,40490,40000,80135,139287,56567,42337,54023,64983,56370,101212,124410,125000,173635,222101,245279,239528,197482,303729,421228,452921,363000,444000,439514,522181,1706619,1965944,1616764
Argentina,ARG,total lithium ore ,0,0,0,49.784,0,75.184,0,0,0,0,0,0,0,0,0,0,0,37.592,140.208,0,158.496,705.104,188.976,402.336,450.088,0,724.408,621.792,270.256,246.888,127,0,0,0,0,0,0,487,675,412,950,900,80,25,193,2644,6645,12044,8714,16799,27515,30104,69,287,620,300,400,400,0,1876,16760,0,7343,4512,5635,7550,11273,15700,16560,6691,6783,5016,17822,14017,13942,13200,16000,0,20073,30877,31060,34712
