Countries,ISO3,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sweden,SWE,,,191.008,113.792,34.544,84.328,110.744,20.32,48.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Rhodesia,ZWE,,,,,,,,,,,,,,,40.64,40.64,,45.72,4032.504,5078.984,4751.832,,6975.856,1476.248,1357.376,2027.936,6318.504,10442.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South West Africa,NAM,,,,,,,,,,,,,,,,1.016,1.016,,,,,,,,,,162.56,868.68,305.816,,36.576,35.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,4.064,,,,,,5.08,,,52.832,,,,,,,,,,,,,,,,,,,,,,,,,,50576,43281,39980,40490,40000,80135,139287,56567,42337,54023,64983,56370,101212,124410,125000,173635,222101,245279,239528,197482,303729,421228,452921,363000,444000,439514,522181,1706619,1965944,1616764
Argentina,ARG,,,,49.784,,75.184,,,,,,,,,,,,37.592,140.208,,158.496,169.672,139.192,402.336,450.088,,,,,,,,,,,,,,,,,,,,80,2492,6500,12009,8530,16621,27396,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surinam,SUR,,,,,,,,,,,,,,,,,,,,,159.512,424.688,,,150.368,25.4,,,,,,,,,,,,,,,,,,,,,,107,366,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,6814.312,99.568,49.784,,,,,,,,792,413,112,885,100,98,243,341,116,120,,,,,,103,1721,3056,,,7005,6500,6523,9225,10629,9796,8897,12046,9755,9064,8924,8585,7991,14460,15000,15733,7820,7084,7982,8000,5781,8804,9000,9000,9000
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,140000,